epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.883,2.18312,1.70801,1.38937,0.58136,0.56,0.46757,0.16754,2.09242,1.35115,1.28905,0.000332418,0.000332418,0.0670907
2,224.481,2.10806,1.38043,1.3575,0.64599,0.55692,0.53613,0.17146,2.31323,1.24984,1.36823,0.000663946,0.000663946,0.0340889
3,332.972,2.09304,1.35535,1.32663,0.77615,0.59385,0.6285,0.22265,2.10292,1.72692,1.26647,0.000988277,0.000988277,0.00107985
4,441.409,2.0715,1.33754,1.32797,0.67196,0.59385,0.54352,0.15539,2.33422,1.31286,1.353,0.000975773,0.000975773,0.000975773
5,549.698,2.07658,1.31013,1.30533,0.67964,0.53846,0.56705,0.19151,2.2448,1.21697,1.34157,0.000957205,0.000957205,0.000957205
6,658.004,2.00927,1.24261,1.28711,0.66712,0.62462,0.611,0.21175,2.15826,1.30044,1.26721,0.000933683,0.000933683,0.000933683
7,766.37,2.00422,1.22515,1.26396,0.70363,0.64284,0.61674,0.22024,2.09058,1.12056,1.24236,0.000905463,0.000905463,0.000905463
8,874.773,1.97267,1.18334,1.25827,0.77377,0.66154,0.68729,0.2578,2.06751,1.02227,1.23899,0.000872857,0.000872857,0.000872857
9,982.986,1.95852,1.21851,1.26355,0.7426,0.66462,0.66657,0.2344,2.13839,1.17473,1.27105,0.00083622,0.00083622,0.00083622
10,1091.21,1.95114,1.16409,1.23551,0.74314,0.67385,0.68537,0.24522,2.04686,1.11005,1.2421,0.000795954,0.000795954,0.000795954
11,1199.4,1.92793,1.13596,1.23266,0.72189,0.64615,0.58474,0.1808,2.26946,1.19511,1.31533,0.0007525,0.0007525,0.0007525
12,1307.56,1.92864,1.14809,1.23909,0.76632,0.70462,0.70626,0.24116,2.07919,1.10404,1.25529,0.000706335,0.000706335,0.000706335
13,1415.63,1.92197,1.11225,1.21289,0.72908,0.64,0.68286,0.25286,2.04265,1.06941,1.21693,0.000657963,0.000657963,0.000657963
14,1523.89,1.90895,1.11535,1.21626,0.7636,0.67585,0.6951,0.22996,2.2343,1.13238,1.28964,0.000607916,0.000607916,0.000607916
15,1632.18,1.87882,1.0701,1.21069,0.74027,0.70156,0.6854,0.23424,2.12357,1.09127,1.24639,0.000556742,0.000556742,0.000556742
16,1741.56,1.84879,0.99337,1.25076,0.79401,0.66462,0.70493,0.25379,2.13993,1.03499,1.25285,0.000505,0.000505,0.000505
17,1850.16,1.82054,0.96048,1.22766,0.79044,0.69637,0.70677,0.23522,2.21282,1.05756,1.31,0.000453258,0.000453258,0.000453258
18,1958.27,1.82326,0.95043,1.23169,0.75313,0.73231,0.72622,0.26486,2.1425,1.03982,1.2501,0.000402084,0.000402084,0.000402084
19,2066.49,1.79931,0.92055,1.21368,0.77877,0.71077,0.72329,0.25362,2.11336,1.00841,1.25681,0.000352037,0.000352037,0.000352037
20,2174.69,1.77395,0.90767,1.20222,0.77686,0.70462,0.68318,0.25248,2.08973,1.01042,1.23677,0.000303665,0.000303665,0.000303665
21,2282.75,1.76598,0.89548,1.18694,0.78224,0.76923,0.75691,0.2788,2.06033,0.96652,1.23097,0.0002575,0.0002575,0.0002575
22,2390.87,1.74525,0.87588,1.19426,0.78713,0.73231,0.75143,0.26983,2.06053,0.98954,1.22571,0.000214046,0.000214046,0.000214046
23,2499.05,1.7257,0.85387,1.17474,0.76457,0.74154,0.70468,0.24667,2.12083,0.97313,1.26488,0.00017378,0.00017378,0.00017378
24,2607.13,1.70708,0.83795,1.17656,0.77351,0.76308,0.724,0.25317,2.10581,0.98302,1.24756,0.000137143,0.000137143,0.000137143
25,2715.29,1.69594,0.8279,1.15711,0.7544,0.74667,0.69601,0.23408,2.21318,0.99509,1.31545,0.000104537,0.000104537,0.000104537
26,2823.37,1.67773,0.80343,1.15421,0.74653,0.72499,0.68964,0.24043,2.13771,0.9838,1.26353,7.63174e-05,7.63174e-05,7.63174e-05
27,2931.93,1.66442,0.79833,1.15022,0.78343,0.75692,0.72382,0.25808,2.13424,0.97825,1.27326,5.2795e-05,5.2795e-05,5.2795e-05
28,3041,1.6551,0.79248,1.13949,0.75273,0.73231,0.70306,0.25387,2.13212,0.98107,1.27314,3.4227e-05,3.4227e-05,3.4227e-05
29,3149.61,1.65521,0.78752,1.14017,0.76968,0.73231,0.70321,0.24972,2.14712,0.97355,1.28195,2.08169e-05,2.08169e-05,2.08169e-05
30,3258.19,1.64926,0.78119,1.13629,0.75789,0.72615,0.70109,0.25022,2.1468,0.96762,1.28037,1.27117e-05,1.27117e-05,1.27117e-05
